ESTIMATE,GRP1,GRP2,PLOT_COUNT,SE,SE_PERCENT,VARIANCE
285.6577010983,`0182 05145 AR White,`0022 Noncensus water (presnfcd is null),1,291.204378965,101.9417218039,84799.9903283842
11656.1664331317,`0182 05145 AR White,`0023 Census water (presnfcd is null),4,7338.6958017287,62.959771927,53856456.07031112
232031.4190542539,`0183 05147 AR Woodruff,`0002 Cropland,41,35624.2355671261,15.3531947149,1269086159.7420933
27362.9819076995,`0183 05147 AR Woodruff,`0004 Idle farmland,5,11964.3555669949,43.7246043116,143145804.13348228
11583.9873583647,`0183 05147 AR Woodruff,`0007 Maintained wildlife opening,2,8330.8778335315,71.9171868529,69403525.47722612
4536.5834838648,`0183 05147 AR Woodruff,"`0011 Cultural (business, residential, other intense human activity)",1,5356.2680882594,118.0683240441,28689607.833305866
2346.5771932641,`0183 05147 AR Woodruff,"`0012 Rights-of-way (improved road, railway, power line)",2,1890.6038809402,80.5685781984,3574383.034625966
4171.3049541782,`0183 05147 AR Woodruff,`0017 Wetland,1,4339.746202525,104.0380947976,18833397.102330312
98923.7918764307,`0183 05147 AR Woodruff,`0020 Forest (presnfcd is null),23,21321.8437053074,21.5538075329,454621018.99355805
5561.7399389043,`0183 05147 AR Woodruff,`0022 Noncensus water (presnfcd is null),1,5786.3282700334,104.0380947976,33481594.848587226
6238.637602618,`0183 05147 AR Woodruff,`0023 Census water (presnfcd is null),2,5593.028004742,89.6514329089,31281962.261828348
4910.2012638617,`0184 05149 AR Yell,`0001 Agricultural land,2,4285.2573086095,87.2725389109,18363430.20099097
32187.9298312301,`0184 05149 AR Yell,`0002 Cropland,6,13423.5413002454,41.7036490717,180191461.03939435
55529.9076485408,`0184 05149 AR Yell,`0003  Pasture (improved through cultural practices),12,17317.1387941032,31.185246883,299883296.0142333
5235.5321065036,`0184 05149 AR Yell,"`0011 Cultural (business, residential, other intense human activity)",1,5487.346104909,104.8097116641,30110967.275060188
12663.6772507198,`0184 05149 AR Yell,"`0012 Rights-of-way (improved road, railway, power line)",4,7721.0104323362,60.9697347735,59614002.096244656
481208.0815295736,`0184 05149 AR Yell,`0020 Forest (presnfcd is null),85,50055.5238310039,10.4020538624,2505555465.9961996
7598.2506624212,`0184 05149 AR Yell,`0023 Census water (presnfcd is null),2,6251.0874868167,82.2700877418,39076094.767836526
24108.3457891908,`0185 06001 CA Alameda,`0002 Cropland,4,12326.3905059038,51.1291426367,151939902.90403548
6093.9639778039,`0185 06001 CA Alameda,`0003  Pasture (improved through cultural practices),1,6203.7663621744,101.8018220122,38486717.07644668
6036.2517119706,`0185 06001 CA Alameda,`0008 Windbreak\/Shelterbelt,1,6170.9351818314,102.231243432,38080441.01836451
160580.3097418243,`0185 06001 CA Alameda,`0009 Rangeland,30,31195.5916034702,19.4267850483,973164935.4904982
18107.4998706195,`0185 06001 CA Alameda,`0010 Developed,3,10685.4937881648,59.0114254564,114179777.4969092
143386.4326092291,`0185 06001 CA Alameda,"`0011 Cultural (business, residential, other intense human activity)",26,29906.5835346821,20.8573314717,894403738.7169183
18911.8099288862,`0185 06001 CA Alameda,"`0012 Rights-of-way (improved road, railway, power line)",9,9341.8288316803,49.3967994962,87269765.92041308
14776.3079283952,`0185 06001 CA Alameda,`0019 Nonforest,2,9766.0834223547,66.0928526238,95376385.41239212
106051.6972023293,`0185 06001 CA Alameda,`0020 Forest (presnfcd is null),19,24705.2278813008,23.2954573411,610348284.667001
6036.2517119706,`0185 06001 CA Alameda,`0022 Noncensus water (presnfcd is null),1,6170.9351818314,102.231243432,38080441.01836451
42777.0460504181,`0185 06001 CA Alameda,`0023 Census water (presnfcd is null),7,16385.614843905,38.3046899138,268488373.81279844
70720.3419310274,`0186 06003 CA Alpine,`0009 Rangeland,14,20443.4850092503,28.9075030621,417936079.32344323
7041.4591784133,`0186 06003 CA Alpine,`0016 Nonvegetated,3,6098.6897341505,86.6111636754,37194016.47343303
370622.7323210103,`0186 06003 CA Alpine,`0020 Forest (presnfcd is null),66,42276.2209694723,11.4068073226,1787278859.4596457
1399.4170489581,`0186 06003 CA Alpine,`0022 Noncensus water (presnfcd is null),1,1644.8450897531,117.5378770023,2705515.369284792
11027.5528805133,`0186 06003 CA Alpine,`0023 Census water (presnfcd is null),3,7156.5029903422,64.8965647037,51215535.05077717
7320.3208637296,`0187 06005 CA Amador,`0002 Cropland,1,6880.5727974644,93.9927760757,47342282.02120771
4397.7565813988,`0187 06005 CA Amador,`0003  Pasture (improved through cultural practices),1,4575.3206790492,104.0376063196,20933559.316135157
109296.2317008964,`0187 06005 CA Amador,`0009 Rangeland,18,25867.8526292412,23.6676527879,669145799.6481394
42719.9175620414,`0187 06005 CA Amador,"`0011 Cultural (business, residential, other intense human activity)",7,15818.3402412836,37.028021457,250219887.9890136
7824.7737475374,`0187 06005 CA Amador,"`0012 Rights-of-way (improved road, railway, power line)",5,6313.9251897158,80.6914729222,39865651.30132718
7054.0423414043,`0187 06005 CA Amador,`0016 Nonvegetated,1,6820.5466601084,96.6899024702,46519856.74271591
2487.8660945794,`0187 06005 CA Amador,`0019 Nonforest,1,2236.4982485812,89.8962469666,5001924.41590676
207943.1581041834,`0187 06005 CA Amador,`0020 Forest (presnfcd is null),40,35120.0550610136,16.8892573246,1233418267.4886236
3630.2802053288,`0187 06005 CA Amador,`0022 Noncensus water (presnfcd is null),1,3597.7429118147,99.1037250109,12943754.059513103
105792.1119464787,`0188 06007 CA Butte,`0001 Agricultural land,18,25828.420211717,24.4143157146,667107290.6330323
145160.2639077037,`0188 06007 CA Butte,`0002 Cropland,24,30194.7086599601,20.8009463796,911720431.0598714
6000.8459185713,`0188 06007 CA Butte,`0003  Pasture (improved through cultural practices),1,6150.1432098152,102.487937422,37824261.50123603
8859.3913149749,`0188 06007 CA Butte,`0004 Idle farmland,2,6970.1910183698,78.6757325708,48583562.83256234
5044.3944306501,`0188 06007 CA Butte,`0007 Maintained wildlife opening,1,5435.5735160484,107.7547283579,29545459.44836658
129404.7616809291,`0188 06007 CA Butte,`0009 Rangeland,23,28203.3518086292,21.7946785283,795429053.2413076
44665.7844843672,`0188 06007 CA Butte,`0010 Developed,7,16788.5672512369,37.5870869504,281855990.34930265
36844.5233208509,`0188 06007 CA Butte,"`0011 Cultural (business, residential, other intense human activity)",8,14837.6442773374,40.2709627917,220155687.7008021
35389.8317522348,`0188 06007 CA Butte,"`0012 Rights-of-way (improved road, railway, power line)",17,12768.9130869693,36.0807397344,163045141.42257577
12130.2126072125,`0188 06007 CA Butte,`0016 Nonvegetated,2,8745.6681931324,72.0982267692,76486712.14436722
18236.0206406893,`0188 06007 CA Butte,`0017 Wetland,3,10726.1379203262,58.8184129184,115050034.68585926
542805.2835092689,`0188 06007 CA Butte,`0020 Forest (presnfcd is null),86,56041.4012655124,10.3244023166,3140638655.8021717
7362.3360711423,`0188 06007 CA Butte,`0022 Noncensus water (presnfcd is null),2,6333.9413749897,86.0316795347,40118813.34180606
35168.9787221388,`0188 06007 CA Butte,`0023 Census water (presnfcd is null),7,14604.9022658778,41.5277974981,213303170.1958439
7804.4210522924,`0189 06009 CA Calaveras,`0003  Pasture (improved through cultural practices),2,6762.4738466413,86.6492697066,45731052.526508
1122.064617983,`0189 06009 CA Calaveras,`0004 Idle farmland,1,982.7148495211,87.5809497752,965728.4754693575
163202.5328572036,`0189 06009 CA Calaveras,`0009 Rangeland,30,30664.9399645718,18.7895000327,940338543.0307927
21965.0149366912,`0189 06009 CA Calaveras,"`0011 Cultural (business, residential, other intense human activity)",7,10463.3057586491,47.6362332956,109480767.39897862
17228.6181652279,`0189 06009 CA Calaveras,"`0012 Rights-of-way (improved road, railway, power line)",17,6946.0603057101,40.316990249,48247753.77056179
30825.8122277447,`0189 06009 CA Calaveras,`0019 Nonforest,5,12797.9042770591,41.5168436845,163786353.88476795
519509.1600418976,`0189 06009 CA Calaveras,`0020 Forest (presnfcd is null),77,55367.148528638,10.6575885061,3065521136.1922655
101.5781533948,`0189 06009 CA Calaveras,`0022 Noncensus water (presnfcd is null),1,103.5274491006,101.9190107721,10717.9327172768
17755.5053085991,`0189 06009 CA Calaveras,`0023 Census water (presnfcd is null),3,10590.9770079645,59.6489754805,112168793.98323233
84707.831195257,`0190 06011 CA Colusa,`0001 Agricultural land,14,23176.3725367582,27.3603658714,537144243.9626001
258794.4182933936,`0190 06011 CA Colusa,`0002 Cropland,43,40146.543516187,15.5129093513,1611744956.2970927
7803.805954096,`0190 06011 CA Colusa,`0003  Pasture (improved through cultural practices),1,7148.6853598084,91.6051142463,51103702.373539664
6000.8459185713,`0190 06011 CA Colusa,`0007 Maintained wildlife opening,1,6150.1432098152,102.487937422,37824261.50123603
119276.6804107947,`0190 06011 CA Colusa,`0009 Rangeland,20,26481.4337703174,22.2016857605,701266334.5317088
6000.8459185713,`0190 06011 CA Colusa,`0010 Developed,1,6150.1432098152,102.487937422,37824261.50123603
12037.0976305419,`0190 06011 CA Colusa,"`0011 Cultural (business, residential, other intense human activity)",2,8712.3304872807,72.378996621,75904702.51960054
14470.9901769529,`0190 06011 CA Colusa,"`0012 Rights-of-way (improved road, railway, power line)",4,9547.0860002231,65.9739650396,91146851.09565555
1701.0316278576,`0190 06011 CA Colusa,"`0015 Other (undeveloped beach, marsh, bog,snow, ice)",1,1636.8232188188,96.2253253857,2679190.249664501
6475.5214863774,`0190 06011 CA Colusa,`0017 Wetland,1,6474.2232589937,99.9799517709,41915566.80729479
48931.0907988273,`0190 06011 CA Colusa,`0019 Nonforest,10,17321.9015323476,35.4006036848,300048272.6963467
197798.2516870565,`0190 06011 CA Colusa,`0020 Forest (presnfcd is null),32,33658.846283764,17.0167562133,1132917933.1540558
12001.6918371427,`0190 06011 CA Colusa,`0022 Noncensus water (presnfcd is null),2,8695.772246064,72.4545536085,75616454.95541717
72153.6280661203,`0191 06013 CA Contra Costa,`0002 Cropland,12,21300.0140420118,29.5203645512,453690598.18989956
205920.3741762156,`0191 06013 CA Contra Costa,`0009 Rangeland,38,34932.1798333154,16.9639259704,1220257187.9070904
12072.5034239411,`0191 06013 CA Contra Costa,`0010 Developed,2,8722.8753581275,72.2540723478,76088554.51342729
114249.4222393872,`0191 06013 CA Contra Costa,"`0011 Cultural (business, residential, other intense human activity)",21,26421.1180035004,23.1258219828,698075476.5548934
21969.8705590702,`0191 06013 CA Contra Costa,"`0012 Rights-of-way (improved road, railway, power line)",6,11276.5323006731,51.3272587126,127160180.72812267
6105.8080334768,`0191 06013 CA Contra Costa,`0017 Wetland,1,6209.9374023811,101.7054150464,38563322.54149204
4772.7123982862,`0191 06013 CA Contra Costa,`0019 Nonforest,1,5142.8232800774,107.7547283579,26448631.29010583
62725.1851111369,`0191 06013 CA Contra Costa,`0020 Forest (presnfcd is null),15,17443.3914565511,27.8092307351,304271905.5064815
61293.6668864112,`0191 06013 CA Contra Costa,`0023 Census water (presnfcd is null),10,19562.533879578,31.9160769347,382692731.7896376
6000.8459185713,`0192 06015 CA Del Norte,`0003  Pasture (improved through cultural practices),1,6150.1432098152,102.487937422,37824261.50123603
4481.0477260963,`0192 06015 CA Del Norte,`0010 Developed,1,4933.4491137404,110.0958841614,24338920.157866076
13829.9275884411,`0192 06015 CA Del Norte,"`0011 Cultural (business, residential, other intense human activity)",3,8386.2497520854,60.6384212676,70329184.90435314
6329.2551942521,`0192 06015 CA Del Norte,"`0012 Rights-of-way (improved road, railway, power line)",5,4481.0199448414,70.7985348562,20079539.74606682
18388.1000659234,`0192 06015 CA Del Norte,"`0015 Other (undeveloped beach, marsh, bog,snow, ice)",3,10757.5663428095,58.5028703577,115725233.61994864
641600.2886391582,`0192 06015 CA Del Norte,`0020 Forest (presnfcd is null),118,56568.0009027605,8.8167044037,3199938726.134717
3444.0035648157,`0192 06015 CA Del Norte,`0022 Noncensus water (presnfcd is null),3,3200.464184335,92.9285967364,10242970.995210866
134846.0671501047,`0192 06015 CA Del Norte,`0023 Census water (presnfcd is null),22,28816.5022915972,21.3699241666,830390804.3216246
1743.6942729315,`0193 06017 CA El Dorado,`0001 Agricultural land,1,1690.3628286897,96.9414681765,2857326.4926158893
7171.7320405463,`0193 06017 CA El Dorado,`0002 Cropland,2,6701.9783208407,93.4499265024,44916513.41301874
102324.8474869302,`0193 06017 CA El Dorado,`0009 Rangeland,17,25084.9892548839,24.5150516917,629256685.9176415
4272.8555476667,`0193 06017 CA El Dorado,`0010 Developed,2,3156.9622212379,73.8841317246,9966410.466323517
77944.9037161672,`0193 06017 CA El Dorado,"`0011 Cultural (business, residential, other intense human activity)",15,21734.5796921628,27.8845423574,472391954.394977
19295.5755388256,`0193 06017 CA El Dorado,"`0012 Rights-of-way (improved road, railway, power line)",25,7679.5617015125,39.7995990638,58975667.92733822
4779.7919078314,`0193 06017 CA El Dorado,"`0015 Other (undeveloped beach, marsh, bog,snow, ice)",1,5539.4035155718,115.8921480765,30684991.308328778
11181.5955830466,`0193 06017 CA El Dorado,`0016 Nonvegetated,2,8854.7473110884,79.1903735502,78406549.94322658
4779.7919078314,`0193 06017 CA El Dorado,`0017 Wetland,1,5539.4035155718,115.8921480765,30684991.308328778
23812.550694057,`0193 06017 CA El Dorado,`0019 Nonforest,4,12527.9432196713,52.6106731724,156949361.31530792
773874.5560858605,`0193 06017 CA El Dorado,`0020 Forest (presnfcd is null),138,54982.5089727084,7.1048348263,3023076292.933958
43819.77157523,`0193 06017 CA El Dorado,`0023 Census water (presnfcd is null),9,16411.0095351514,37.4511526309,269321233.9628289
323326.5424496533,`0194 06019 CA Fresno,`0001 Agricultural land,52,44736.8214606494,13.8364209513,2001383194.402017
899330.5166834441,`0194 06019 CA Fresno,`0002 Cropland,149,73661.1155856187,8.1906611884,5425959949.317882
32890.0460184307,`0194 06019 CA Fresno,`0003  Pasture (improved through cultural practices),5,14652.4238305443,44.5497212814,214693524.10990274
90063.0508451638,`0194 06019 CA Fresno,`0004 Idle farmland,15,23781.2321828347,26.4050928318,565547004.1338928
554719.8958447232,`0194 06019 CA Fresno,`0009 Rangeland,99,58121.7785037507,10.4776805265,3378141136.43906
53434.8146872463,`0194 06019 CA Fresno,`0010 Developed,9,18398.0040844496,34.4307436867,338486554.29142255
173479.3407755405,`0194 06019 CA Fresno,"`0011 Cultural (business, residential, other intense human activity)",31,32674.3798103762,18.8347382831,1067615095.9927213
84205.2270086466,`0194 06019 CA Fresno,"`0012 Rights-of-way (improved road, railway, power line)",27,21480.5209524701,25.5097239394,461412780.38950855
1655.0737030466,`0194 06019 CA Fresno,"`0015 Other (undeveloped beach, marsh, bog,snow, ice)",1,1652.7022598636,99.8567167626,2731424.7597583635
253076.0512380567,`0194 06019 CA Fresno,`0016 Nonvegetated,40,38348.6755596458,15.1530243071,1470620917.1789777
78793.8383294054,`0194 06019 CA Fresno,`0019 Nonforest,15,21867.5136330486,27.7528219169,478188152.4915671
1179770.4525498375,`0194 06019 CA Fresno,`0020 Forest (presnfcd is null),199,70771.9286424542,5.9987880261,5008665883.772625
7310.3140411749,`0194 06019 CA Fresno,`0022 Noncensus water (presnfcd is null),4,3857.7081026871,52.770757603,14881911.80553732
30721.3027794164,`0194 06019 CA Fresno,`0023 Census water (presnfcd is null),6,13357.9406862286,43.4810358862,178434579.37680227
66670.216790556,`0195 06021 CA Glenn,`0001 Agricultural land,11,20504.7425829853,30.7554760882,420444468.39449054
193942.0973936338,`0195 06021 CA Glenn,`0002 Cropland,32,34852.3832368909,17.9705096033,1214688617.2911155
18002.537755714,`0195 06021 CA Glenn,`0003  Pasture (improved through cultural practices),3,10647.8439302304,59.1463496687,113376580.36254343
12037.0976305419,`0195 06021 CA Glenn,`0004 Idle farmland,2,8712.3304872807,72.378996621,75904702.51960054
6093.9639778039,`0195 06021 CA Glenn,`0007 Maintained wildlife opening,1,6203.7663621744,101.8018220122,38486717.07644668
6907.8343745037,`0195 06021 CA Glenn,`0008 Windbreak\/Shelterbelt,1,6697.0938720912,96.9492536881,44851066.33160135
223692.2278532194,`0195 06021 CA Glenn,`0009 Rangeland,34,36981.8296924443,16.532460715,1367655727.4009566
6093.9639778039,`0195 06021 CA Glenn,"`0011 Cultural (business, residential, other intense human activity)",1,6203.7663621744,101.8018220122,38486717.07644668
6756.4521327035,`0195 06021 CA Glenn,"`0012 Rights-of-way (improved road, railway, power line)",4,6171.7409401286,91.3458841846,38090386.23205993
6721.1715226294,`0195 06021 CA Glenn,"`0015 Other (undeveloped beach, marsh, bog,snow, ice)",2,4196.8733990001,62.4425873506,17613746.327234697
64274.2635765384,`0195 06021 CA Glenn,`0019 Nonforest,12,18831.3173541905,29.2983790188,354618513.29423606
212284.7299172767,`0195 06021 CA Glenn,`0020 Forest (presnfcd is null),37,34377.8191872301,16.1942025696,1181834452.0698893
6129.3666886411,`0195 06021 CA Glenn,`0023 Census water (presnfcd is null),1,6217.9136889419,101.4446353889,38662450.6431312
39311.7436815258,`0196 06023 CA Humboldt,`0002 Cropland,7,15681.6836791687,39.8905828401,245915203.0135067
61295.1056344111,`0196 06023 CA Humboldt,`0003  Pasture (improved through cultural practices),10,19237.8728162878,31.3856589644,370095750.4956653
207230.3761647855,`0196 06023 CA Humboldt,`0009 Rangeland,42,33732.1371389135,16.2776026195,1137857075.9584706
27773.2617815879,`0196 06023 CA Humboldt,"`0011 Cultural (business, residential, other intense human activity)",7,13041.3229788154,46.9563967004,170076105.03777888
28263.353667603,`0196 06023 CA Humboldt,"`0012 Rights-of-way (improved road, railway, power line)",35,7825.1391854551,27.6865204232,61232803.271745406
12258.7333772822,`0196 06023 CA Humboldt,"`0015 Other (undeveloped beach, marsh, bog,snow, ice)",2,8788.4884090751,71.691651483,77237528.51644741
14432.6106102164,`0196 06023 CA Humboldt,`0016 Nonvegetated,3,9695.9811028955,67.1810621429,94012049.54770756
797.3423302086,`0196 06023 CA Humboldt,`0018 Beach,1,818.4501082406,102.6472667049,669860.5796791234
12668.3204148257,`0196 06023 CA Humboldt,`0019 Nonforest,2,9170.8130993515,72.3917046542,84103812.9032363
1695998.7225140505,`0196 06023 CA Humboldt,`0020 Forest (presnfcd is null),276,84746.8131394485,4.9968677461,7182022337.292598
8346.7122472661,`0196 06023 CA Humboldt,`0022 Noncensus water (presnfcd is null),5,4680.0832525858,56.0709787751,21903179.251134317
282602.3280241534,`0196 06023 CA Humboldt,`0023 Census water (presnfcd is null),47,41166.2636344757,14.5668522699,1694661261.6231542
18002.537755714,`0197 06025 CA Imperial,`0001 Agricultural land,3,10647.8439302304,59.1463496687,113376580.36254343
493186.7820336414,`0197 06025 CA Imperial,`0002 Cropland,82,54980.0609797324,11.1479185945,3022807105.335092
12037.0976305419,`0197 06025 CA Imperial,`0004 Idle farmland,2,8712.3304872807,72.378996621,75904702.51960054
1743149.239310835,`0197 06025 CA Imperial,`0009 Rangeland,291,101832.7276390268,5.8418823439,10369904418.404213
19868.4515851337,`0197 06025 CA Imperial,`0010 Developed,4,10831.4878145721,54.5160138331,117321128.27722302
54465.8533640652,`0197 06025 CA Imperial,"`0011 Cultural (business, residential, other intense human activity)",9,18510.4013315533,33.9853324391,342634957.4551715
36005.0755114281,`0197 06025 CA Imperial,"`0012 Rights-of-way (improved road, railway, power line)",6,15048.7390934122,41.7961603459,226464548.3015929
113922.3630145532,`0197 06025 CA Imperial,"`0015 Other (undeveloped beach, marsh, bog,snow, ice)",19,26747.0074681942,23.478276574,715402408.5036387
123749.5282380574,`0197 06025 CA Imperial,`0016 Nonvegetated,21,27732.0390318883,22.4098139417,769065988.8661736
13743.2519063432,`0197 06025 CA Imperial,`0017 Wetland,3,8901.2592969371,64.7682175776,79232417.07130983
5980.3963983665,`0197 06025 CA Imperial,`0019 Nonforest,1,6138.7134410441,102.6472667049,37683802.711255416
6142.8665430009,`0197 06025 CA Imperial,`0020 Forest (presnfcd is null),3,3848.2726630336,62.6462033009,14809202.489051655
171622.2672819514,`0197 06025 CA Imperial,`0023 Census water (presnfcd is null),28,32396.3224921843,18.876526342,1049521711.0176089
5215078.74991668,`0198 06027 CA Inyo,`0009 Rangeland,875,162156.903533534,3.1093855205,26294861363.58384
6093.9639778039,`0198 06027 CA Inyo,`0010 Developed,1,6203.7663621744,101.8018220122,38486717.07644668
12165.6184006117,`0198 06027 CA Inyo,"`0011 Cultural (business, residential, other intense human activity)",2,8760.3020302667,72.0086866265,76742891.66149572
6105.8080334768,`0198 06027 CA Inyo,"`0012 Rights-of-way (improved road, railway, power line)",1,6209.9374023811,101.7054150464,38563322.54149204
191670.6253282771,`0198 06027 CA Inyo,"`0015 Other (undeveloped beach, marsh, bog,snow, ice)",32,34617.458134455,18.060909477,1198368407.6907463
590839.6899768641,`0198 06027 CA Inyo,`0016 Nonvegetated,100,59512.5225079104,10.072532959,3541740335.2545443
6129.3666886411,`0198 06027 CA Inyo,`0017 Wetland,1,6217.9136889419,101.4446353889,38662450.6431312
4778.843804006,`0198 06027 CA Inyo,`0019 Nonforest,1,5797.5264195424,121.3165078692,33611312.58529224
499144.202908901,`0198 06027 CA Inyo,`0020 Forest (presnfcd is null),87,50723.3741676845,10.1620681703,2572860686.9549193
12258.7333772822,`0198 06027 CA Inyo,`0023 Census water (presnfcd is null),2,8788.4884090751,71.691651483,77237528.51644741
404757.0812824779,`0199 06029 CA Kern,`0001 Agricultural land,64,48558.9230100237,11.9970533576,2357969003.8934064
476576.3978456142,`0199 06029 CA Kern,`0002 Cropland,79,54238.6487510962,11.3808927585,2941831018.344794
17026.3493627163,`0199 06029 CA Kern,`0003  Pasture (improved through cultural practices),3,10355.8255686772,60.8223486319,107243123.20886812
158857.0022087173,`0199 06029 CA Kern,`0004 Idle farmland,26,31578.7933701821,19.8787544339,997220190.716657
2837020.5665496914,`0199 06029 CA Kern,`0009 Rangeland,470,130019.8083870814,4.5829702442,16905150573.013365
108333.8786748772,`0199 06029 CA Kern,`0010 Developed,18,26064.9972596117,24.0598763549,679384082.1435666
181375.4464794527,`0199 06029 CA Kern,"`0011 Cultural (business, residential, other intense human activity)",30,34004.1474681538,18.7479331564,1156282045.0359483
96219.6970008564,`0199 06029 CA Kern,"`0012 Rights-of-way (improved road, railway, power line)",29,23900.3426710373,24.8393451819,571226379.7930073
47899.026500536,`0199 06029 CA Kern,`0016 Nonvegetated,8,17361.2809960483,36.2455821432,301414077.82374865
71654.320302026,`0199 06029 CA Kern,`0019 Nonforest,10,21363.043664812,29.8140343454,456379634.6246656
751228.3688953214,`0199 06029 CA Kern,`0020 Forest (presnfcd is null),125,64221.3051365923,8.5488391807,4124376033.447295
6036.2517119706,`0199 06029 CA Kern,`0022 Noncensus water (presnfcd is null),1,6170.9351818314,102.231243432,38080441.01836451
12258.7333772822,`0199 06029 CA Kern,`0023 Census water (presnfcd is null),2,8788.4884090751,71.691651483,77237528.51644741
62439.6314689821,`0200 06031 CA Kings,`0001 Agricultural land,10,19823.9323238697,31.7489579254,392988292.78136766
384462.0168188957,`0200 06031 CA Kings,`0002 Cropland,64,48661.5453293242,12.6570488632,2367945993.8378754
84104.9609192314,`0200 06031 CA Kings,`0004 Idle farmland,14,22971.7393534367,27.3131799865,527700808.92223406
247252.783840985,`0200 06031 CA Kings,`0009 Rangeland,41,39225.8355421533,15.8646689161,1538666173.980059
18017.4940289084,`0200 06031 CA Kings,`0010 Developed,3,10657.7908231892,59.1524593048,113588505.23085596
36297.5290100909,`0200 06031 CA Kings,"`0011 Cultural (business, residential, other intense human activity)",6,15122.2126979245,41.6618241251,228681316.8812686
42035.8339763882,`0200 06031 CA Kings,"`0012 Rights-of-way (improved road, railway, power line)",7,16273.0196865485,38.7122560616,264811169.71879566
6000.8459185713,`0200 06031 CA Kings,`0022 Noncensus water (presnfcd is null),1,6150.1432098152,102.487937422,37824261.50123603
11419.7478217829,`0201 06033 CA Lake,`0001 Agricultural land,2,8607.7621958644,75.3761145184,74093570.02055266
27057.5841856602,`0201 06033 CA Lake,`0002 Cropland,5,13176.1638052106,48.696748811,173611292.62174276
8464.8304564186,`0201 06033 CA Lake,`0003  Pasture (improved through cultural practices),2,6779.8183864977,80.093965513,45965937.35389177
85870.7481886236,`0201 06033 CA Lake,`0009 Rangeland,17,22216.3735919017,25.8718761168,493567255.57494724
35162.5364609103,`0201 06033 CA Lake,"`0011 Cultural (business, residential, other intense human activity)",7,15265.4155156421,43.4138633105,233032910.86520693
8269.9524714544,`0201 06033 CA Lake,"`0012 Rights-of-way (improved road, railway, power line)",11,2771.0277191638,33.5071782907,7678594.62037408
16315.9971175239,`0201 06033 CA Lake,"`0015 Other (undeveloped beach, marsh, bog,snow, ice)",3,9922.3233500093,60.8134659411,98452500.66214061
6079.7753630583,`0201 06033 CA Lake,`0017 Wetland,1,6201.9789276633,102.0100013127,38464542.61917914
250149.8127184666,`0201 06033 CA Lake,`0019 Nonforest,40,38503.05878596,15.391999845,1482485535.875093
392426.8354513089,`0201 06033 CA Lake,`0020 Forest (presnfcd is null),73,45104.4324705489,11.4937176553,2034409828.4903083
2714.8061437644,`0201 06033 CA Lake,`0022 Noncensus water (presnfcd is null),2,2099.0742967945,77.3194911768,4406112.903463308
36776.2001318467,`0201 06033 CA Lake,`0023 Census water (presnfcd is null),6,15187.6302401514,41.2974428726,230664112.31156242
31303.8136889309,`0202 06035 CA Lassen,`0001 Agricultural land,5,14032.5189556636,44.8268670875,196911588.2410589
104060.5853129019,`0202 06035 CA Lassen,`0002 Cropland,17,25501.788862681,24.5066744397,650341235.1967608
12001.6918371427,`0202 06035 CA Lassen,`0003  Pasture (improved through cultural practices),2,8695.772246064,72.4545536085,75616454.95541717
6162.6686932126,`0202 06035 CA Lassen,`0004 Idle farmland,1,6309.6143627653,102.3844486353,39811233.406814486
1394484.6770809772,`0202 06035 CA Lassen,`0009 Rangeland,244,89076.4876564986,6.3877709896,7934620653.218354
10671.8741053991,`0202 06035 CA Lassen,`0010 Developed,3,8486.3884988973,79.5210701989,72018789.75421678
645.1979210785,`0202 06035 CA Lassen,"`0011 Cultural (business, residential, other intense human activity)",1,658.1664077615,102.0100013127,433183.0203056516
30219.0583402052,`0202 06035 CA Lassen,"`0012 Rights-of-way (improved road, railway, power line)",31,10964.741926743,36.2841945745,120225565.5200763
20837.7281070976,`0202 06035 CA Lassen,"`0015 Other (undeveloped beach, marsh, bog,snow, ice)",4,10691.7521213889,51.3095864695,114313563.42522328
79214.1326098935,`0202 06035 CA Lassen,`0016 Nonvegetated,13,22323.828304755,28.1816231135,498353310.1801825
18284.4042092948,`0202 06035 CA Lassen,`0017 Wetland,3,10738.7999573595,58.7320201109,115321824.5241847
516.6697469508,`0202 06035 CA Lassen,`0019 Nonforest,1,623.2840126574,120.6348961471,388482.9604343146
1295107.1555653927,`0202 06035 CA Lassen,`0020 Forest (presnfcd is null),228,81869.3629470323,6.3214354577,6702592589.352904
12130.2126072125,`0202 06035 CA Lassen,`0022 Noncensus water (presnfcd is null),2,8745.6681931324,72.0982267692,76486712.14436722
73502.8089381106,`0202 06035 CA Lassen,`0023 Census water (presnfcd is null),12,21423.0249347238,29.1458588375,458945997.3537981
30261.2772981203,`0203 06037 CA Los Angeles,`0002 Cropland,5,13811.0655240466,45.639400439,190745530.90950754
72642.9724449692,`0203 06037 CA Los Angeles,`0004 Idle farmland,12,21408.7691993537,29.4712185898,458335398.6311945
700670.2808869169,`0203 06037 CA Los Angeles,`0009 Rangeland,117,65292.2992405043,9.3185483988,4263084340.1115522
58620.2259900647,`0203 06037 CA Los Angeles,`0010 Developed,10,19286.2312179709,32.9003017171,371958714.5930347
753994.1899860972,`0203 06037 CA Los Angeles,"`0011 Cultural (business, residential, other intense human activity)",124,66640.8281783409,8.8383742293,4440999980.295149
